model_name,collection_name,file_path,required_fields,orgId_field,createdAt_field,updatedAt_field,createdBy_field,indexes,notes
User,users,"app/routes/auth.py, server.py","id, org_id, email, password_hash, first_name, last_name, role, phone, is_active, is_platform_admin",YES,YES,YES,NO,"email (unique), org_id",Core user collection
Organization,organizations,"server.py, app/routes/billing.py","id, name, slug, address, phone, email, logo_url, subscription_plan, subscription_status, subscription_expires_at",N/A,YES,YES,NO,"slug (unique), id",Core organization collection
AuditLog,audit_logs,app/services/audit.py,"id, org_id, user_id, user_email, action, entity_type, entity_id, details, timestamp",YES,YES (timestamp),NO,YES (user_id),"org_id, timestamp",Audit trail collection
Subscription,subscriptions,app/routes/billing.py,"id, org_id, plan, plan_id, status, started_at, expires_at, payment_method, amount, currency",YES,YES,NO,NO,"org_id, status",Billing subscription
FeatureFlag,feature_flags,server.py,"id, org_id, module_code, module_name, description, enabled, updated_by",YES,NO,YES,YES (updated_by),org_id,Module toggle flags
Project,projects,server.py,"id, org_id, code, name, client, address, status, start_date, end_date, budget, manager_user_id",YES,YES,YES,YES (manager_user_id),"org_id, status, code",Project management
ProjectTeam,project_team,server.py,"id, project_id, user_id, role, assigned_at",YES (via project),YES (assigned_at),NO,NO,project_id,Project team assignments
ProjectPhase,project_phases,server.py,"id, project_id, name, order, status, start_date, end_date",YES (via project),YES,YES,NO,project_id,Project phases
Offer,offers,server.py,"id, org_id, project_id, title, version, status, items, total_material, total_labor, total, notes",YES,YES,YES,NO,"org_id, project_id, status",Offers/BOQ
ActivityCatalog,activity_catalog,app/routes/offers.py,"id, org_id, project_id, code, name, default_unit, default_material_unit_cost, default_labor_unit_cost, active",YES,YES,YES,NO,"org_id, project_id",Activity templates
AttendanceEntry,attendance_entries,app/routes/attendance.py,"id, org_id, user_id, project_id, date, check_in, check_out, hours, status, notes, gps_coords, photo_url",YES,YES,YES,NO,"org_id, user_id, date",Daily attendance
WorkReport,work_reports,server.py,"id, org_id, project_id, user_id, date, status, activities, notes, submitted_at, approved_by",YES,YES,YES,YES (user_id),"org_id, project_id, date",Daily work reports
EmployeeProfile,employee_profiles,app/routes/hr.py,"id, user_id, org_id, first_name, last_name, position, hire_date, salary_type, base_salary, bank_account",YES,YES,YES,NO,"org_id, user_id",HR employee data
Advance,advances,app/routes/hr.py,"id, org_id, user_id, amount, date, reason, status, approved_by, deducted_amount",YES,YES,YES,YES (approved_by),"org_id, user_id",Salary advances
PayrollRun,payroll_runs,app/routes/hr.py,"id, org_id, period_start, period_end, status, total_gross, total_deductions, total_net",YES,YES,YES,NO,"org_id, period_start",Payroll periods
Payslip,payslips,app/routes/hr.py,"id, payroll_run_id, user_id, org_id, base_salary, overtime, bonuses, deductions, net_salary",YES,YES,NO,NO,"org_id, payroll_run_id",Individual payslips
FinancialAccount,financial_accounts,app/routes/finance.py,"id, org_id, name, type, currency, balance, is_active",YES,YES,YES,NO,"org_id, type",Bank/cash accounts
Invoice,invoices,app/routes/finance.py,"id, org_id, project_id, invoice_number, client, status, issue_date, due_date, items, total, vat_percent",YES,YES,YES,NO,"org_id, status, invoice_number",Client invoices
FinancePayment,finance_payments,app/routes/finance.py,"id, org_id, invoice_id, account_id, amount, date, method, reference",YES,YES,NO,NO,"org_id, invoice_id",Payment records
PaymentAllocation,payment_allocations,server.py,"id, payment_id, invoice_id, amount",NO,YES,NO,NO,payment_id,Payment to invoice mapping
OverheadCategory,overhead_categories,app/routes/overhead.py,"id, org_id, name, description, type, is_active",YES,YES,YES,NO,org_id,Cost categories
OverheadCost,overhead_costs,app/routes/overhead.py,"id, org_id, category_id, description, amount, date, period, recurring",YES,YES,YES,NO,"org_id, category_id, period",Overhead costs
OverheadAsset,overhead_assets,app/routes/overhead.py,"id, org_id, name, purchase_date, purchase_value, useful_life_months, residual_value, depreciation_method",YES,YES,YES,NO,org_id,Depreciable assets
OverheadSnapshot,overhead_snapshots,app/routes/overhead.py,"id, org_id, period, status, total_overhead, total_labor_hours, overhead_rate, allocations",YES,YES,YES,NO,"org_id, period",Monthly overhead snapshot
ProjectOverheadAllocation,project_overhead_allocations,app/routes/overhead.py,"id, snapshot_id, project_id, labor_hours, allocated_amount",NO,YES,NO,NO,snapshot_id,Project cost allocation
MediaFile,media_files,app/routes/media.py,"id, org_id, owner_user_id, filename, original_name, content_type, size, context_type, context_id, uploaded_at",YES,YES (uploaded_at),NO,YES (owner_user_id),"org_id, context_type, context_id",Uploaded files
Notification,notifications,server.py,"id, org_id, user_id, type, title, message, read, link",YES,YES,NO,NO,"org_id, user_id, read",User notifications
Reminder,reminders,server.py,"id, org_id, type, entity_type, entity_id, scheduled_for, sent, sent_at",YES,YES,NO,NO,"org_id, scheduled_for",Scheduled reminders
ReminderLog,reminder_logs,server.py,"id, reminder_id, sent_at, status, error",NO,YES (sent_at),NO,NO,reminder_id,Reminder delivery log
OrgMobileSetting,org_mobile_settings,app/routes/mobile.py,"id, org_id, enabledModules, defaultRole, gpsRequired, photoRequired",YES,YES,YES,NO,org_id (unique),Mobile app settings
MobileViewConfig,mobile_view_configs,app/routes/mobile.py,"id, org_id, role, module_code, visibleFields, allowedActions",YES,YES,YES,NO,"org_id, role, module_code",Role-based mobile views
Machine,machines,server.py,"id, org_id, name, type, registration_number, status, current_project_id",YES,YES,YES,NO,"org_id, status",Equipment/machinery
Delivery,deliveries,server.py,"id, org_id, project_id, supplier, delivery_date, status, items, notes",YES,YES,YES,NO,"org_id, project_id",Material deliveries
Message,messages,server.py,"id, org_id, from_user_id, to_user_id, subject, body, read, sent_at",YES,YES (sent_at),NO,YES (from_user_id),"org_id, to_user_id",Internal messages
